org_list,0,1,total,prop_0,prop_1,diff
Levant Wines,3,1,4,0.002638522427440633,0.001483679525222552,0.0011548429022180812
the Notaries Protest,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Assurors,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Aueridges,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Bees of a,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
this Trade in Spice,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Action and Paſsion,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Aristotle of Thales Milesius,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Owners or Partners,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the royal Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
this Instance of Woollen Manufacture,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Valuation of Merchants,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
exchequer & mints,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
fidelity,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the West-Indies Fleet,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the burden & can,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Accidents,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Bank of England,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"the Banks of Madrill, Lions",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Foreigner,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Free Trade,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Bailifeses,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Banckes,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Accizes, Imposts",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Office of the King's,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Hamborough, Stoade",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Government Errors,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Goodnes,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Frezier,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Canker,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Happiness,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Histories,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Hires,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
China Raw,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Guilders,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Hamborough &,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Clothier & the Wool,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Bird,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Carrat,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Chamblet,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Hollanders,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Archduke Albertus,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Broker of Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Trade and Traine,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Cables, Anchors",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Boters,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Trenalls,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Turnovers,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Bolonia Sarsenet,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Unprofitable,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Iudicious,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Kerseys and Tin,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Hollands,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Howbeit Exchange of Moneys,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Bishop Fleetwood,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
mensura,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Change,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Labyrinth,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Labour,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Iacobus,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Lawns, Cambrics",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"Iron, Led, Tin",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Islands,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Iron,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
