entity,label,count
less than one-third,CARDINAL,3
Sixteen,CARDINAL,3
Farmers,ORG,3
Silver,PERSON,3
Monies,ORG,3
Compass,ORG,3
ninth,ORDINAL,3
Eton,PERSON,3
Natural,ORG,3
Fishing,NORP,3
the Progress of Improvement,ORG,3
Fourthly,ORDINAL,3
the Merchant Stranger,ORG,3
Spirit,ORG,3
King's,ORG,3
Time,ORG,3
Trades,PRODUCT,3
Royal,ORG,3
Spherical,ORG,3
Thirty years,DATE,3
Gentleman,ORG,3
Worthy,PERSON,3
some weeks,DATE,3
other weeks,DATE,3
one week,DATE,3
52 weeks,DATE,3
these 12 years,DATE,3
one third,CARDINAL,3
four pounds,QUANTITY,3
100 l.,QUANTITY,3
Noble,PERSON,3
Irish,NORP,3
two pence,MONEY,3
16s,DATE,3
about 3s,CARDINAL,3
about 6s,CARDINAL,3
more than fifty years ago,DATE,3
the season,DATE,3
3 d. 4 d.,QUANTITY,3
Angel,PERSON,3
Florin,GPE,3
one-fifth,CARDINAL,3
the eighteenth year,DATE,2
thirty and five,CARDINAL,2
thirty seven shillings,QUANTITY,2
ten pro cent,MONEY,2
almost thirty,CARDINAL,2
three quarters,DATE,2
Eastland,GPE,2
Interest,ORG,2
Par of Exchange,ORG,2
Embroiderer,PERSON,2
made many hundreds,CARDINAL,2
four penny,MONEY,2
20.,MONEY,2
Canvas,NORP,2
a quarter,CARDINAL,2
Port,GPE,2
Usury,GPE,2
twelve,DATE,2
King's Customs,ORG,2
Usurers,ORG,2
Porte,ORG,2
Ocean,ORG,2
Proclamation,GPE,2
Publica mensura,PERSON,2
Hamborow,LOC,2
Embden,GPE,2
Sums,PERSON,2
Callings,ORG,2
The East-India Company,ORG,2
Vent,GPE,2
the Sugar-Bakers,ORG,2
Barbadoes Sugars,ORG,2
Radix Cambij,PERSON,2
Second,ORDINAL,2
bringeth,PERSON,2
causeth us,ORG,2
Spanish Tobacco,ORG,2
Freight,LAW,2
Accidental Exchanges,NORP,2
Accidental,NORP,2
Rich,PERSON,2
6 shillings 8 pence,MONEY,2
seven shillings,MONEY,2
Sugar-Bakers,ORG,2
Younger,ORG,2
The Accidental Reciprocal Exchanges,ORG,2
Fairs,GPE,2
Fermer,ORG,2
Rechange,GPE,2
9 shillings 7 pence,MONEY,2
36000 00 00 150000,DATE,2
Ocean,LOC,2
the season of the year,DATE,2
Noblemen &,ORG,2
Malestroit,NORP,2
one to two and a half,CARDINAL,2
one to 5,CARDINAL,2
Malestroit,PERSON,2
7.s,DATE,2
52500,DATE,2
States,GPE,2
Currans,NORP,2
Monopoly,NORP,2
00 00.,DATE,2
Question,PERSON,2
Raising,PERSON,2
Plate,GPE,2
00,DATE,2
Exchanger,PERSON,2
two hours,TIME,2
a certain day,DATE,2
Knights and Gentry,ORG,2
3.s,CARDINAL,2
6.d,CARDINAL,2
8.s,CARDINAL,2
16000 00 00.,DATE,2
La,GPE,2
South-west,GPE,2
Winter two,DATE,2
the Turkish Pirates,FAC,2
9.s,DATE,2
3 pound,QUANTITY,2
9000,CARDINAL,2
00 00. 160000,DATE,2
the Nobility of England,ORG,2
Sattin-Doublet,ORG,2
Grocer,GPE,2
loseth unawares,PERSON,2
Howbeit,GPE,2
North-east,LOC,2
driveth,PERSON,2
Western,NORP,2
Northwest,ORG,2
Lions,ORG,2
Fair,ORG,2
Engrossers,ORG,2
600,CARDINAL,2
Politicians,NORP,2
Party,ORG,2
the Master of the Ship and Mariners,ORG,2
Barratrie,PERSON,2
Map,PERSON,2
The Manna of France,WORK_OF_ART,2
450 thousand pound,QUANTITY,2
that day,DATE,2
"house, & finding",ORG,2
Constable,ORG,2
Salt-Petre,PERSON,2
Custom,ORG,2
Exchequer,ORG,2
Sheyre,LOC,2
Gold or Bullion,ORG,2
27,CARDINAL,2
